# Processed galaxy data ready for 3D visualization
# Columns: x, y, z (3D coordinates), g_mag (brightness), red, green, blue (colors), galaxy_type
# Coordinates are centered and scaled for optimal visualization
x,y,z,g_mag,red,green,blue,galaxy_type
-12.675,-1.438,1.884,18.57,0.349,0.895,1.0,spiral
23.163,-0.027,-0.784,16.71,1.0,0.883,0.383,elliptical
23.163,-0.043,-0.809,16.35,1.0,0.837,0.164,elliptical
23.162,-0.046,-0.84,17.67,0.444,1.0,1.0,spiral
-9.26,0.786,-0.474,17.42,1.0,0.756,0.325,elliptical
-15.402,-1.483,1.138,19.22,1.0,0.454,1.0,irregular
11.829,0.255,-0.327,17.58,1.0,0.759,0.308,elliptical
-18.574,-0.462,-0.059,20.07,0.386,0.728,1.0,spiral
20.593,0.068,-0.876,19.52,0.366,0.82,1.0,spiral
23.162,0.041,-0.834,15.95,1.0,0.888,0.411,elliptical
21.985,0.055,-0.801,15.7,1.0,0.932,0.471,elliptical
-2.415,-0.563,-0.709,17.35,1.0,0.889,0.236,elliptical
23.163,0.032,-0.79,16.69,1.0,0.619,1.0,irregular
23.162,0.035,-0.808,17.52,0.516,0.896,1.0,spiral
20.272,-0.073,-0.865,17.82,0.351,0.989,1.0,spiral
-15.838,-0.983,1.3,17.35,1.0,0.89,0.281,elliptical
23.162,-0.033,-0.832,16.4,0.364,0.986,1.0,spiral
-6.946,-0.489,1.305,17.7,1.0,0.929,0.19,elliptical
-26.891,1.245,0.789,18.98,1.0,0.666,0.168,elliptical
-24.099,-2.049,-0.022,17.79,1.0,0.917,0.18,elliptical
-40.096,-0.51,-1.095,20.85,0.104,0.854,0.535,dwarf
16.442,0.317,-0.325,18.64,0.381,0.896,1.0,spiral
4.991,0.025,0.157,17.94,1.0,0.579,1.0,irregular
-20.066,0.519,0.24,18.2,1.0,0.688,0.268,elliptical
23.161,-0.015,-0.85,16.38,1.0,0.825,0.385,elliptical
23.162,0.0,-0.815,16.41,1.0,0.869,0.42,elliptical
7.329,-0.148,-0.298,15.83,0.422,1.0,1.0,spiral
11.651,0.541,0.137,16.46,1.0,1.0,0.339,elliptical
-28.386,2.132,2.541,19.81,1.0,0.325,0.826,irregular
-19.85,0.299,0.395,19.34,1.0,0.65,0.278,elliptical
-14.965,-0.089,1.749,19.99,0.374,0.665,0.943,spiral
23.163,0.036,-0.791,18.04,0.274,0.835,1.0,spiral
22.841,-0.025,-0.804,17.72,0.309,0.964,1.0,spiral
15.678,0.167,-0.49,15.14,0.444,1.0,1.0,spiral
-35.581,1.558,-0.4,18.76,0.258,1.0,0.834,dwarf
17.169,0.157,-0.781,18.45,0.425,0.841,1.0,spiral
-24.943,1.228,1.326,18.28,0.306,0.985,1.0,spiral
-47.97,-0.865,1.676,19.2,1.0,0.777,0.141,elliptical
-6.473,0.921,-0.55,18.18,0.441,1.0,1.0,spiral
1.287,0.778,0.756,19.31,1.0,0.364,0.983,irregular
23.162,-0.024,-0.798,17.24,1.0,0.841,0.257,elliptical
-42.98,-0.016,0.227,20.05,0.226,0.603,0.928,spiral
21.771,0.06,-0.798,17.54,0.307,0.885,1.0,spiral
-20.147,-1.932,-0.843,19.62,0.957,0.366,0.954,irregular
-29.354,1.804,0.162,19.21,0.335,0.903,1.0,spiral
0.418,-0.07,0.784,18.34,0.447,0.799,1.0,spiral
-12.32,1.191,0.779,18.56,1.0,0.826,0.367,elliptical
23.161,-0.025,-0.832,17.42,0.395,1.0,1.0,spiral
-57.818,2.806,-0.658,18.4,1.0,0.882,0.21,elliptical
-14.941,0.394,-0.529,17.74,0.291,0.877,1.0,spiral
17.388,0.181,-0.601,19.93,0.295,0.723,1.0,spiral
-1.547,-0.321,0.056,18.89,1.0,0.52,0.994,irregular
23.164,0.036,-0.773,16.41,1.0,0.935,0.278,elliptical
23.164,0.035,-0.78,17.86,0.51,0.931,1.0,spiral
-24.791,-0.155,-1.141,19.26,1.0,0.749,0.137,elliptical
10.56,0.537,-0.126,18.86,0.272,1.0,0.832,dwarf
-4.547,0.43,-0.033,18.7,1.0,0.715,0.181,elliptical
-15.368,-0.014,-0.239,18.53,0.486,0.888,1.0,spiral
20.807,-0.069,-0.863,14.8,1.0,0.797,1.0,irregular
20.274,0.119,-0.737,16.95,0.587,1.0,1.0,spiral
23.164,0.01,-0.772,15.42,0.436,1.0,1.0,spiral
22.094,-0.094,-0.759,16.85,0.57,0.982,1.0,spiral
23.162,-0.001,-0.797,15.55,0.412,1.0,1.0,spiral
-47.698,2.194,2.404,18.59,1.0,0.545,1.0,irregular
-2.766,1.036,1.003,16.1,1.0,0.896,0.38,elliptical
-11.607,0.435,0.229,17.81,1.0,0.516,0.975,irregular
-44.906,0.913,-0.217,20.07,0.912,0.356,0.711,irregular
21.663,-0.037,-0.785,17.03,1.0,0.788,0.427,elliptical
17.719,0.165,-0.411,19.22,1.0,0.751,0.227,elliptical
0.906,-0.477,-0.419,18.8,0.466,0.779,1.0,spiral
-19.833,-0.756,0.728,19.4,0.305,0.731,1.0,spiral
16.74,-0.034,-0.736,18.28,1.0,0.893,0.316,elliptical
23.161,0.017,-0.83,18.11,1.0,0.831,0.292,elliptical
-6.629,1.165,0.93,16.48,0.534,1.0,1.0,spiral
19.204,-0.197,-0.856,18.13,1.0,0.781,0.292,elliptical
6.583,0.02,-0.165,16.1,1.0,0.977,0.336,elliptical
20.175,-0.149,-0.58,17.08,1.0,0.945,0.365,elliptical
-35.85,-1.59,1.67,20.42,0.1,0.811,0.582,dwarf
-38.14,-1.468,0.502,19.34,1.0,0.593,0.25,elliptical
23.162,0.038,-0.813,16.25,1.0,1.0,0.316,elliptical
23.162,-0.047,-0.829,17.22,1.0,1.0,0.325,elliptical
4.58,0.263,0.438,16.64,0.611,1.0,1.0,spiral
-6.487,-0.002,-0.544,17.05,1.0,0.807,0.264,elliptical
2.036,-0.076,0.897,18.5,1.0,0.675,0.234,elliptical
-12.48,-0.431,-0.86,20.07,0.379,0.722,1.0,spiral
-3.449,-0.262,0.671,18.28,1.0,0.782,0.17,elliptical
-40.175,0.528,1.038,20.96,0.106,0.719,0.64,dwarf
23.162,-0.04,-0.851,18.12,1.0,0.897,0.386,elliptical
-26.814,0.81,-0.128,19.75,0.305,0.829,1.0,spiral
4.555,-0.661,-0.303,18.12,0.31,0.848,1.0,spiral
-11.982,0.252,1.421,19.16,0.235,0.836,1.0,spiral
23.164,-0.043,-0.782,15.08,1.0,1.0,0.336,elliptical
14.928,-0.399,-0.874,17.15,1.0,0.614,1.0,irregular
23.163,-0.02,-0.785,14.74,1.0,1.0,0.29,elliptical
1.373,0.967,0.273,17.79,0.313,0.932,1.0,spiral
-12.221,-0.176,0.995,19.32,0.279,0.863,1.0,spiral
23.162,-0.014,-0.801,17.39,0.521,0.955,1.0,spiral
12.369,-0.406,-0.316,17.41,1.0,0.525,1.0,irregular
23.161,0.027,-0.847,15.66,0.451,1.0,1.0,spiral
13.532,-0.172,-0.579,20.3,1.0,0.502,0.183,elliptical
23.162,0.043,-0.816,16.81,1.0,0.945,0.281,elliptical
-20.348,-0.597,1.289,19.63,1.0,0.363,0.848,irregular
11.852,-0.136,0.103,18.58,0.286,0.871,1.0,spiral
-10.053,1.404,0.936,18.58,1.0,0.568,1.0,irregular
-33.096,2.228,2.687,18.34,1.0,0.457,1.0,irregular
10.442,-0.552,-0.387,18.33,1.0,0.759,0.361,elliptical
23.163,0.014,-0.776,18.26,1.0,0.787,0.26,elliptical
4.438,0.497,-0.524,18.48,1.0,0.705,0.201,elliptical
16.745,0.277,-0.757,19.87,0.351,0.716,1.0,spiral
0.497,0.917,-0.166,18.77,0.318,0.939,1.0,spiral
6.039,0.39,-0.84,18.67,0.324,0.756,1.0,spiral
-11.182,1.028,-0.621,18.01,0.375,0.864,1.0,spiral
23.162,-0.02,-0.812,18.44,0.433,0.839,1.0,spiral
3.04,0.275,-0.872,18.89,0.367,0.884,1.0,spiral
-14.616,-0.71,-0.534,18.39,1.0,0.728,0.327,elliptical
0.736,0.907,0.45,15.71,0.684,1.0,1.0,spiral
-16.365,-0.508,1.616,17.75,1.0,0.658,1.0,irregular
-32.564,-0.544,3.231,18.12,0.496,0.997,1.0,spiral
-0.695,-0.293,-0.079,16.97,1.0,0.928,0.202,elliptical
23.161,0.003,-0.826,17.08,0.34,1.0,1.0,spiral
-35.092,0.005,2.275,19.44,1.0,0.754,0.175,elliptical
-12.692,1.298,1.72,16.89,1.0,0.829,0.374,elliptical
-21.106,-1.379,2.622,20.04,0.123,0.802,0.737,dwarf
-0.594,-0.589,-0.821,18.85,0.266,0.755,1.0,spiral
23.163,-0.046,-0.795,18.17,0.372,1.0,1.0,spiral
23.162,0.019,-0.806,17.59,0.478,1.0,1.0,spiral
-29.955,0.473,2.097,19.8,0.239,0.985,0.779,dwarf
-1.982,0.057,-0.111,17.54,0.416,0.941,1.0,spiral
-42.849,-1.743,3.106,19.74,0.389,0.672,0.975,spiral
23.161,-0.009,-0.848,14.46,1.0,1.0,0.334,elliptical
-35.755,-2.539,0.159,20.97,0.755,0.409,0.729,irregular
23.161,0.003,-0.826,17.65,0.417,1.0,1.0,spiral
23.161,0.024,-0.834,15.53,1.0,1.0,0.278,elliptical
-11.002,-0.976,1.468,19.59,0.281,0.688,1.0,spiral
23.162,-0.039,-0.836,17.27,0.523,1.0,1.0,spiral
23.161,-0.008,-0.819,15.8,1.0,0.85,0.424,elliptical
21.022,-0.074,-0.765,18.46,0.306,0.812,1.0,spiral
23.161,-0.032,-0.848,16.0,0.6,1.0,1.0,spiral
-13.144,-0.832,1.572,20.75,0.238,0.777,0.69,dwarf
-36.423,1.16,0.897,20.37,0.354,0.708,0.862,spiral
23.162,0.013,-0.808,15.57,1.0,1.0,0.358,elliptical
-52.297,-0.525,-1.335,20.41,0.22,0.786,0.633,dwarf
-36.11,-1.588,0.064,18.98,0.273,0.752,1.0,spiral
23.164,0.009,-0.765,14.14,0.505,1.0,1.0,spiral
-9.913,1.404,1.474,17.61,1.0,0.81,0.342,elliptical
-7.004,-1.114,-0.869,17.65,0.336,0.932,1.0,spiral
4.382,0.527,0.601,19.16,0.283,0.773,1.0,spiral
23.163,0.031,-0.799,15.97,1.0,1.0,0.475,elliptical
2.954,-0.929,-0.484,18.51,0.365,0.978,1.0,spiral
1.653,-0.494,-0.594,17.49,1.0,0.758,0.272,elliptical
12.899,0.251,-0.356,17.84,0.409,0.926,1.0,spiral
-46.071,-0.151,0.885,19.52,0.244,0.718,1.0,spiral
15.03,-0.272,-0.86,16.74,1.0,1.0,0.192,elliptical
1.222,-0.19,-0.478,18.02,1.0,0.826,0.36,elliptical
-18.337,-1.53,-0.165,19.65,0.286,0.697,1.0,spiral
-10.961,-1.251,-0.688,17.94,0.466,1.0,1.0,spiral
-20.296,0.002,-0.863,19.7,0.331,0.84,1.0,spiral
-19.623,0.426,0.741,17.31,1.0,0.973,0.412,elliptical
-16.621,1.698,-0.989,18.63,1.0,0.733,0.338,elliptical
14.825,-0.003,-0.353,18.39,0.501,0.975,1.0,spiral
-5.051,0.11,0.782,17.27,0.568,1.0,1.0,spiral
12.589,-0.199,-0.114,20.14,1.0,0.376,0.783,irregular
-1.605,0.178,1.002,17.9,0.38,0.908,1.0,spiral
5.095,0.336,0.029,17.55,1.0,0.899,0.158,elliptical
-16.278,-0.004,1.326,18.66,0.267,0.763,1.0,spiral
18.989,-0.154,-0.849,18.46,0.457,0.939,1.0,spiral
-25.615,-0.714,2.823,20.71,0.176,0.771,0.654,dwarf
-26.024,-2.023,2.605,19.11,0.39,0.824,1.0,spiral
-5.482,-0.6,0.638,17.77,1.0,0.915,0.308,elliptical
-52.703,-1.377,3.465,19.57,1.0,0.466,0.955,irregular
19.96,0.007,-0.551,16.19,1.0,0.97,0.37,elliptical
2.623,-0.534,-0.316,15.48,0.539,1.0,1.0,spiral
-21.114,-0.813,2.693,20.08,0.394,0.778,1.0,spiral
23.162,-0.034,-0.851,15.59,0.655,1.0,1.0,spiral
23.161,0.024,-0.854,16.33,0.506,1.0,1.0,spiral
18.36,-0.062,-0.417,15.72,1.0,1.0,0.225,elliptical
-14.394,0.028,0.237,16.87,1.0,0.999,0.36,elliptical
23.163,0.003,-0.789,17.59,1.0,0.877,0.261,elliptical
23.163,-0.031,-0.799,17.6,1.0,0.797,0.141,elliptical
-23.501,-0.666,-1.205,17.49,1.0,0.93,0.201,elliptical
-3.784,-1.184,-0.374,20.07,0.356,0.681,1.0,spiral
23.161,-0.018,-0.821,18.35,1.0,0.815,0.249,elliptical
23.163,0.003,-0.775,17.77,1.0,0.562,1.0,irregular
-14.149,-0.217,1.02,18.71,0.253,0.865,1.0,spiral
-41.867,-0.461,1.704,17.28,1.0,0.534,1.0,irregular
3.256,-0.403,-0.956,17.06,1.0,0.769,0.211,elliptical
19.636,0.075,-0.604,17.69,1.0,0.896,0.303,elliptical
-24.791,0.173,-0.807,20.97,0.19,0.698,0.57,dwarf
-1.757,-1.04,-0.681,17.69,1.0,0.738,0.148,elliptical
-3.054,-0.711,-0.996,19.06,1.0,0.368,0.84,irregular
-40.185,-1.249,0.168,19.34,1.0,0.647,0.283,elliptical
5.088,0.563,-0.289,16.67,1.0,0.991,0.278,elliptical
-0.464,0.917,-0.025,20.68,0.346,0.672,0.878,spiral
-26.859,-1.262,1.58,19.75,0.264,0.767,1.0,spiral
-5.761,1.307,0.997,18.15,1.0,0.437,1.0,irregular
-38.059,0.598,-0.314,19.55,1.0,0.613,0.176,elliptical
-19.651,-0.505,-0.73,17.77,0.534,0.909,1.0,spiral
-6.451,0.697,0.488,17.19,1.0,1.0,0.241,elliptical
10.96,-0.152,-0.921,16.19,0.559,1.0,1.0,spiral
23.162,0.022,-0.816,15.34,0.365,1.0,1.0,spiral
-3.277,-0.124,-0.82,20.22,0.979,0.377,0.816,irregular
23.162,0.017,-0.808,16.23,0.372,1.0,1.0,spiral
-34.075,-1.808,-1.239,18.74,1.0,0.619,0.159,elliptical
7.542,-0.526,-0.749,18.46,0.365,0.989,1.0,spiral
9.033,-0.165,-0.877,18.85,0.269,0.801,1.0,spiral
18.671,-0.153,-0.651,15.63,1.0,1.0,0.491,elliptical
21.237,0.095,-0.766,17.68,0.514,0.865,1.0,spiral
-1.319,0.648,0.251,19.07,1.0,0.766,0.265,elliptical
-6.351,1.275,-0.344,16.88,0.34,1.0,1.0,spiral
-18.913,1.773,1.472,18.71,1.0,0.463,1.0,irregular
23.161,0.01,-0.825,17.03,1.0,0.854,0.166,elliptical
23.164,0.032,-0.772,17.77,1.0,0.763,0.367,elliptical
-1.877,-0.531,-0.405,20.39,0.275,0.741,0.99,spiral
-19.758,0.218,-0.401,18.28,0.486,0.845,1.0,spiral
-3.912,-0.626,-1.002,18.37,0.364,0.909,1.0,spiral
23.161,0.008,-0.849,16.22,1.0,1.0,0.239,elliptical
-30.654,-1.023,0.444,16.29,1.0,0.848,0.449,elliptical
-13.515,-0.737,0.672,18.17,1.0,0.504,1.0,irregular
5.301,0.731,-0.614,17.07,1.0,0.838,0.243,elliptical
5.076,-0.419,-0.812,15.28,1.0,0.962,0.526,elliptical
-63.785,3.377,0.498,18.46,0.26,0.797,1.0,spiral
16.752,-0.1,-0.419,17.32,1.0,0.903,0.2,elliptical
-11.131,-0.5,1.274,16.88,1.0,0.894,0.34,elliptical
23.161,0.001,-0.821,17.35,1.0,0.812,0.404,elliptical
2.352,-0.259,0.794,17.68,1.0,0.725,0.358,elliptical
22.307,0.06,-0.766,18.3,0.338,0.807,1.0,spiral
23.161,-0.017,-0.827,18.2,0.291,0.963,1.0,spiral
-3.688,0.089,0.136,18.35,0.324,0.979,1.0,spiral
-4.343,0.536,-0.893,19.13,1.0,0.44,0.879,irregular
22.737,0.005,-0.742,18.83,0.314,0.73,1.0,spiral
-22.888,0.457,1.929,20.67,0.315,0.631,0.896,spiral
10.969,-0.239,-0.38,19.08,0.299,0.807,1.0,spiral
-13.973,-0.764,-0.944,20.17,0.281,0.611,0.994,spiral
-20.818,-0.617,0.066,20.33,0.969,0.534,0.188,elliptical
5.727,0.589,-0.486,17.78,0.37,0.997,1.0,spiral
1.51,0.99,0.743,17.66,0.38,0.879,1.0,spiral
23.161,0.023,-0.841,15.81,1.0,0.79,1.0,irregular
-24.947,-1.067,1.308,18.51,0.3,0.762,1.0,spiral
23.162,0.042,-0.836,17.04,1.0,1.0,0.273,elliptical
-7.965,-1.185,-0.901,18.98,1.0,0.701,0.256,elliptical
14.605,-0.377,-0.861,19.03,1.0,0.583,0.24,elliptical
-15.205,-0.71,1.22,19.78,0.947,0.442,0.928,irregular
1.505,-0.871,0.75,19.42,1.0,0.352,0.94,irregular
-15.785,-1.106,-0.648,20.56,0.252,0.726,0.683,dwarf
23.161,-0.023,-0.852,17.84,1.0,0.93,0.242,elliptical
23.163,-0.041,-0.798,16.24,1.0,0.883,0.416,elliptical
-7.208,0.601,0.367,16.62,1.0,1.0,0.165,elliptical
20.489,0.158,-0.86,16.26,1.0,0.935,0.34,elliptical
21.987,-0.025,-0.724,16.38,0.602,1.0,1.0,spiral
-12.685,0.911,-0.927,17.43,0.302,1.0,1.0,spiral
-54.65,-0.067,0.096,19.25,1.0,0.462,0.948,irregular
23.162,0.022,-0.816,17.36,1.0,0.533,1.0,irregular
-9.12,-1.189,0.396,17.49,1.0,0.807,0.224,elliptical
-39.547,1.361,-1.23,17.18,0.52,0.896,1.0,spiral
23.161,-0.028,-0.853,14.76,1.0,1.0,0.205,elliptical
-19.62,-0.107,0.885,19.79,0.332,0.8,0.991,spiral
18.993,0.091,-0.595,17.37,0.428,1.0,1.0,spiral
-47.382,-1.716,2.562,19.31,1.0,0.484,0.871,irregular
16.745,-0.265,-0.719,17.75,0.32,0.988,1.0,spiral
-10.551,0.55,-0.864,19.4,0.409,0.841,1.0,spiral
4.884,-0.273,0.128,18.54,0.472,0.871,1.0,spiral
-6.742,-0.684,1.077,17.84,0.363,0.973,1.0,spiral
-22.93,-0.191,1.133,20.32,0.891,0.634,0.263,elliptical
23.161,0.023,-0.831,17.49,0.386,0.961,1.0,spiral
23.162,0.035,-0.806,16.29,1.0,0.552,1.0,irregular
23.162,0.04,-0.814,15.47,0.653,1.0,1.0,spiral
18.139,0.018,-0.517,20.5,0.834,0.475,0.188,elliptical
9.268,-0.078,-0.049,18.41,1.0,0.744,0.354,elliptical
9.467,-0.037,-0.412,18.77,1.0,0.736,0.346,elliptical
11.614,-0.022,-0.271,18.1,0.271,0.91,1.0,spiral
2.253,0.536,0.838,17.43,0.357,0.908,1.0,spiral
-16.108,1.07,2.093,19.39,0.394,0.719,1.0,spiral
-49.469,-2.345,4.922,19.48,0.367,0.779,1.0,spiral
-14.515,1.439,1.666,19.11,0.236,1.0,0.914,dwarf
-9.331,1.189,0.483,18.12,1.0,0.848,0.227,elliptical
14.614,0.038,-0.302,17.11,0.388,0.978,1.0,spiral
-4.202,0.537,0.525,17.27,1.0,0.934,0.323,elliptical
23.163,0.006,-0.789,16.95,0.543,1.0,1.0,spiral
23.161,-0.024,-0.851,18.29,0.283,0.966,1.0,spiral
23.161,-0.026,-0.828,17.0,0.328,0.979,1.0,spiral
-14.589,-0.815,0.556,20.63,0.195,0.649,0.817,spiral
23.163,-0.042,-0.802,16.66,0.473,1.0,1.0,spiral
1.22,-0.288,-0.943,17.09,0.36,1.0,1.0,spiral
23.162,-0.022,-0.796,15.75,1.0,0.668,1.0,irregular
-20.354,1.362,0.747,18.12,1.0,0.639,1.0,irregular
23.162,0.022,-0.826,17.91,1.0,0.703,0.33,elliptical
-6.284,0.999,1.378,18.03,1.0,0.814,0.287,elliptical
1.022,-0.448,-0.065,18.66,0.489,0.888,1.0,spiral
8.284,-0.19,-0.785,16.41,0.472,1.0,1.0,spiral
6.787,0.145,-0.559,18.71,1.0,0.562,0.935,irregular
23.163,0.02,-0.779,19.02,0.4,0.818,1.0,spiral
-19.225,0.209,-0.739,20.8,0.834,0.285,0.721,irregular
-18.364,-1.232,1.993,17.4,1.0,0.937,0.23,elliptical
-38.358,-0.777,0.855,19.06,0.454,0.793,1.0,spiral
3.683,0.319,-1.024,18.42,0.343,0.997,1.0,spiral
13.21,-0.006,-0.573,18.45,0.322,0.773,1.0,spiral
-1.971,-0.586,0.061,17.85,1.0,0.745,0.22,elliptical
20.386,-0.049,-0.6,17.69,1.0,0.705,0.323,elliptical
19.737,0.039,-0.762,17.21,0.57,0.96,1.0,spiral
-8.694,-0.507,0.732,17.06,1.0,0.515,1.0,irregular
8.103,-0.435,0.104,17.69,0.545,1.0,1.0,spiral
-10.7,-1.136,1.042,19.93,0.402,0.677,0.941,spiral
-19.187,-1.573,0.117,18.04,1.0,0.883,0.327,elliptical
-31.715,-0.691,0.997,17.73,1.0,0.943,0.276,elliptical
-15.671,1.32,-0.618,19.84,1.0,0.494,0.782,irregular
23.162,0.014,-0.817,14.77,1.0,1.0,0.469,elliptical
23.161,-0.007,-0.835,16.37,1.0,0.893,0.386,elliptical
23.162,0.036,-0.809,15.98,1.0,1.0,0.203,elliptical
-16.519,1.398,-0.1,18.94,1.0,0.644,0.245,elliptical
23.162,-0.024,-0.803,16.8,1.0,0.843,0.29,elliptical
-15.66,-1.222,0.231,20.09,0.192,0.867,0.679,dwarf
-3.044,0.509,0.037,19.73,0.362,0.8,1.0,spiral
0.805,-0.843,-0.902,16.63,1.0,1.0,0.159,elliptical
9.996,0.129,-0.922,17.34,1.0,0.483,1.0,irregular
23.162,0.013,-0.807,18.27,1.0,0.712,0.172,elliptical
22.52,0.032,-0.798,16.4,0.505,1.0,1.0,spiral
-8.937,-0.248,0.046,17.55,1.0,0.867,0.17,elliptical
-1.332,-0.943,-0.592,18.61,1.0,0.561,0.899,irregular
-12.255,-0.408,0.047,16.41,1.0,0.973,0.267,elliptical
5.837,-0.525,-0.273,20.27,0.941,0.419,0.746,irregular
13.319,-0.342,-0.736,19.55,1.0,0.389,0.925,irregular
12.569,-0.205,-0.597,18.2,1.0,0.713,0.286,elliptical
9.159,0.175,-0.097,17.04,1.0,0.929,0.319,elliptical
22.413,0.024,-0.792,18.45,1.0,0.382,1.0,irregular
5.228,0.242,0.504,20.41,0.134,0.907,0.745,dwarf
16.433,0.225,-0.418,15.55,0.513,1.0,1.0,spiral
-5.386,0.435,0.455,19.5,1.0,0.416,0.91,irregular
17.083,-0.215,-0.313,17.68,1.0,0.935,0.292,elliptical
12.18,0.432,0.091,15.92,0.396,1.0,1.0,spiral
8.609,-0.391,-0.832,19.86,1.0,0.481,0.757,irregular
5.612,0.365,-0.648,16.32,1.0,0.956,0.226,elliptical
14.921,-0.192,-0.844,15.08,1.0,1.0,0.371,elliptical
17.828,-0.103,-0.372,15.69,1.0,1.0,0.34,elliptical
-30.223,-0.787,0.704,17.19,1.0,0.702,1.0,irregular
23.164,0.044,-0.78,14.84,0.379,1.0,1.0,spiral
23.162,-0.048,-0.818,15.95,0.361,1.0,1.0,spiral
21.984,0.013,-0.83,17.03,1.0,0.934,0.187,elliptical
6.37,-0.358,-0.245,18.45,0.262,0.762,1.0,spiral
12.586,-0.001,-0.131,19.17,0.379,0.708,1.0,spiral
23.164,-0.044,-0.777,16.74,0.581,1.0,1.0,spiral
10.859,-0.401,-0.69,17.96,0.277,0.809,1.0,spiral
-5.044,0.233,0.894,20.58,0.885,0.498,0.129,elliptical
-33.088,-2.465,-0.904,17.93,1.0,0.796,0.152,elliptical
5.301,-0.584,-0.368,18.42,1.0,0.669,0.287,elliptical
23.162,0.034,-0.827,15.76,0.588,1.0,1.0,spiral
23.162,0.005,-0.8,15.59,0.456,1.0,1.0,spiral
-28.052,-0.406,1.577,16.62,0.43,1.0,1.0,spiral
23.163,0.014,-0.782,17.08,0.363,0.987,1.0,spiral
-0.398,-1.062,1.062,18.91,0.279,0.868,1.0,spiral
11.084,-0.564,-0.441,16.95,0.374,0.998,1.0,spiral
23.161,0.002,-0.84,18.94,0.327,0.865,1.0,spiral
-1.846,0.473,0.512,17.25,1.0,0.628,1.0,irregular
-22.005,-0.566,-0.869,16.28,1.0,1.0,0.456,elliptical
-3.369,0.68,-0.236,16.64,1.0,0.785,0.364,elliptical
21.021,-0.029,-0.797,17.98,1.0,0.872,0.217,elliptical
3.574,0.209,-0.765,19.38,0.335,0.712,0.995,spiral
-8.11,-0.941,1.39,20.37,0.286,0.674,0.865,spiral
4.027,0.125,0.171,18.23,1.0,0.89,0.208,elliptical
0.515,-1.012,0.239,18.47,1.0,0.554,1.0,irregular
-2.283,-0.882,0.083,18.36,0.486,1.0,1.0,spiral
9.788,0.244,-0.465,16.03,0.406,1.0,1.0,spiral
-14.404,0.34,-0.295,19.3,1.0,0.423,0.835,irregular
-1.66,-0.755,-0.611,17.36,0.376,0.909,1.0,spiral
23.164,-0.015,-0.767,14.0,0.409,1.0,1.0,spiral
6.682,0.324,-0.579,16.22,0.567,0.98,1.0,spiral
-16.497,-1.713,2.33,18.83,0.378,0.884,1.0,spiral
20.058,-0.071,-0.808,16.89,0.499,0.923,1.0,spiral
-36.554,0.399,0.29,19.82,1.0,0.49,0.827,irregular
-30.777,0.209,0.1,18.96,0.264,0.837,1.0,spiral
-11.284,0.47,0.295,16.54,1.0,1.0,0.229,elliptical
-13.974,-0.723,-0.631,19.42,0.376,0.782,1.0,spiral
-36.927,2.116,1.078,19.86,0.23,0.702,0.962,spiral
-17.182,-0.513,2.228,20.65,0.32,0.652,0.814,spiral
23.161,-0.01,-0.837,17.6,1.0,0.825,0.311,elliptical
7.106,0.139,-0.867,17.73,0.39,0.996,1.0,spiral
-37.397,-1.76,-0.804,18.61,1.0,0.77,0.363,elliptical
23.162,0.028,-0.812,16.69,1.0,0.863,0.359,elliptical
9.481,0.275,-0.123,20.19,0.254,0.646,0.885,spiral
16.849,0.222,-0.845,16.61,1.0,0.874,0.163,elliptical
23.162,0.034,-0.837,14.33,0.409,1.0,1.0,spiral
23.162,0.029,-0.83,15.19,0.555,1.0,1.0,spiral
-5.688,-0.726,0.749,18.17,0.438,1.0,1.0,spiral
-17.93,0.059,0.139,17.78,0.543,0.995,1.0,spiral
23.163,-0.028,-0.78,16.68,1.0,0.604,1.0,irregular
23.162,0.011,-0.804,17.01,1.0,0.835,0.278,elliptical
14.289,-0.205,-0.393,18.07,1.0,0.667,0.236,elliptical
-30.661,-0.536,0.46,18.59,0.25,0.764,1.0,spiral
7.873,0.046,-0.065,15.86,1.0,1.0,0.413,elliptical
-24.687,0.724,2.277,18.4,1.0,0.663,0.243,elliptical
-11.395,1.113,-0.865,19.18,0.235,0.689,1.0,spiral
-18.395,-0.161,1.783,17.64,0.449,1.0,1.0,spiral
-7.846,-0.833,0.362,17.11,1.0,0.951,0.391,elliptical
19.311,-0.173,-0.793,15.11,1.0,1.0,0.305,elliptical
-35.051,0.607,2.928,19.43,0.299,0.702,1.0,spiral
20.168,-0.02,-0.666,18.21,1.0,0.898,0.227,elliptical
23.162,-0.038,-0.846,19.03,1.0,0.453,1.0,irregular
10.863,-0.549,-0.728,16.57,1.0,0.794,0.247,elliptical
12.565,-0.019,-0.911,20.65,0.216,0.844,0.622,dwarf
-16.284,-0.509,1.143,20.21,0.299,0.678,0.891,spiral
5.931,0.296,-0.667,19.11,0.365,0.818,1.0,spiral
-3.707,-1.205,1.266,19.39,1.0,0.383,0.802,irregular
3.613,-0.501,0.335,20.29,0.953,0.377,0.743,irregular
-8.672,1.084,0.895,20.31,0.19,0.945,0.744,dwarf
10.859,0.029,-0.398,15.83,1.0,0.858,0.393,elliptical
13.43,0.456,-0.805,16.0,0.365,1.0,1.0,spiral
23.163,0.037,-0.797,15.31,0.382,1.0,1.0,spiral
-7.211,0.7,0.236,19.2,1.0,0.69,0.267,elliptical
16.208,-0.206,-0.683,16.61,0.611,1.0,1.0,spiral
