# Sample galaxy data (mimicking SDSS format)
# Generated for galaxy visualization testing
# Columns: ra (degrees), dec (degrees), g_mag, r_mag, i_mag, redshift, galaxy_type
# Data is synthetic but follows realistic distributions
ra,dec,g_mag,r_mag,i_mag,redshift,galaxy_type
179.84954,0.828995,16.66,15.6,15.07,0.0301,elliptical
180.127917,1.12721,15.95,15.85,15.46,0.0039,irregular
180.04009,3.113453,17.02,16.18,15.94,0.0133,elliptical
181.828492,4.414488,15.07,14.3,13.71,0.0229,elliptical
179.216911,1.215833,19.58,18.59,18.04,0.02,elliptical
179.750123,3.388282,17.52,17.26,17.13,0.0133,irregular
180.92843,3.248505,21.59,21.17,20.84,0.0479,spiral
180.133508,2.621311,16.72,15.76,15.29,0.0336,elliptical
181.074404,0.807509,17.42,16.58,16.06,0.0572,spiral
180.425834,-0.152468,17.95,17.5,17.23,0.0359,spiral
181.412249,0.936232,15.69,15.5,15.22,0.0354,irregular
179.1866,-0.209539,18.38,18.03,17.48,0.0166,spiral
177.720539,3.406153,18.97,18.1,17.61,0.0117,spiral
178.681613,0.59864,16.76,16.2,15.93,0.0071,spiral
178.275417,4.16186,18.44,17.73,17.48,0.0348,elliptical
179.355293,4.068529,17.95,16.74,16.33,0.0615,elliptical
181.204469,3.163638,20.1,19.22,18.94,0.0272,spiral
181.993946,4.267194,17.06,16.36,15.88,0.001,elliptical
181.365722,3.918829,14.77,14.67,13.98,0.0112,irregular
178.771083,1.518709,18.01,17.45,17.33,0.0614,elliptical
178.707717,2.326765,16.0,15.51,15.34,0.0105,spiral
182.246979,0.579961,18.61,18.14,17.94,0.0282,spiral
177.6265,2.163297,17.39,16.23,15.66,0.0316,elliptical
180.565263,1.261081,19.84,19.1,18.81,0.0108,spiral
179.486227,0.528515,17.31,17.01,16.55,0.001,spiral
177.966053,2.406252,18.02,17.76,17.3,0.0349,spiral
177.677807,2.187434,16.36,15.56,15.17,0.0331,spiral
181.448362,4.42197,20.61,20.05,19.71,0.0467,irregular
181.048682,1.025712,17.46,16.67,16.14,0.001,elliptical
180.255944,-0.382826,17.01,16.54,15.97,0.001,spiral
178.265345,4.078393,19.59,19.02,18.28,0.0595,elliptical
181.800576,0.500598,17.38,16.67,16.06,0.001,elliptical
182.479825,0.770394,16.36,15.81,15.5,0.001,spiral
181.897863,3.804251,17.96,17.59,17.08,0.001,spiral
179.974705,-0.399409,18.04,17.25,17.02,0.0464,spiral
180.884818,0.345016,17.31,16.68,16.07,0.0406,elliptical
180.841015,3.072076,17.32,16.42,16.02,0.001,elliptical
181.227965,3.544625,15.32,14.45,14.08,0.001,elliptical
180.489797,-0.127165,20.85,20.05,19.66,0.0417,spiral
178.424843,2.427529,19.42,18.87,18.33,0.0522,spiral
178.629852,4.113755,17.21,16.17,15.87,0.001,elliptical
179.547858,0.692466,18.34,17.92,17.5,0.0191,spiral
179.818684,2.017458,22.0,20.62,20.09,0.0419,irregular
179.461138,2.441611,19.94,19.32,19.23,0.0302,spiral
180.351602,4.187544,17.75,16.93,16.4,0.0404,elliptical
181.388034,1.859165,20.02,19.69,19.56,0.0511,spiral
178.765026,1.933491,17.5,16.65,16.06,0.0579,elliptical
180.578858,2.016756,17.9,17.32,17.15,0.0351,spiral
181.648552,1.517442,17.51,16.83,16.73,0.0187,spiral
178.329024,3.808325,17.79,16.9,16.46,0.001,elliptical
178.365501,1.69853,16.36,15.94,15.64,0.001,spiral
180.646229,2.803807,18.33,17.32,16.6,0.0318,elliptical
179.890622,0.882085,15.91,15.55,15.5,0.0034,spiral
180.083211,4.081207,17.02,16.66,16.41,0.0226,spiral
179.439228,4.374669,17.37,16.91,16.62,0.0232,spiral
182.16941,0.020411,16.14,14.84,14.33,0.007,elliptical
181.48824,1.827912,19.06,18.1,17.42,0.001,elliptical
179.610906,2.070189,18.57,18.08,17.73,0.0504,irregular
181.151967,4.005436,21.77,21.16,20.72,0.0492,spiral
180.987831,3.167038,20.56,20.32,19.96,0.0547,irregular
179.942689,2.020948,18.17,17.33,17.18,0.0265,spiral
180.509113,-0.290058,18.48,17.87,17.29,0.0553,irregular
181.517162,3.284602,19.64,19.24,18.69,0.0447,dwarf
178.928967,0.681032,17.64,16.94,16.75,0.001,irregular
181.932663,2.977201,18.73,18.29,17.97,0.0279,spiral
181.327797,0.01062,16.5,15.6,15.21,0.001,elliptical
179.734666,1.802926,20.27,19.77,19.61,0.0281,irregular
180.782579,0.915613,18.13,17.35,16.88,0.0077,spiral
177.853324,2.318313,15.69,15.07,14.79,0.001,spiral
179.750301,3.240436,16.31,16.48,16.25,0.001,irregular
179.016746,4.4719,20.17,19.87,19.62,0.001,spiral
182.367418,2.040357,18.32,17.32,16.73,0.003,irregular
181.138004,4.159846,16.46,15.6,15.41,0.0133,spiral
179.787713,0.418149,16.57,15.81,15.52,0.0456,spiral
177.960183,1.433473,20.11,19.27,19.17,0.0106,irregular
181.555751,1.56555,18.75,18.04,17.29,0.001,elliptical
180.493666,1.752873,17.57,16.49,16.02,0.0013,elliptical
180.615117,1.016925,16.99,16.33,16.0,0.0275,spiral
180.117137,3.031203,20.31,19.86,19.5,0.0374,dwarf
179.557303,3.467484,16.37,15.78,15.71,0.001,spiral
180.247158,3.402031,20.76,20.53,19.92,0.0751,irregular
178.861926,-0.387427,16.04,15.36,14.91,0.001,spiral
179.491578,-0.172873,16.88,16.38,16.0,0.001,spiral
182.323011,2.538476,17.55,16.97,16.74,0.0153,spiral
178.930135,1.283409,19.19,18.36,18.0,0.0338,elliptical
182.343444,0.407165,17.23,16.52,16.07,0.0067,spiral
180.686361,1.010403,17.04,15.89,15.46,0.0111,elliptical
182.322814,2.045187,16.41,15.63,15.51,0.031,spiral
181.093792,1.336613,18.14,17.24,16.84,0.0202,irregular
180.449604,2.800853,16.44,15.53,15.02,0.001,spiral
180.118968,4.434354,18.23,17.02,16.71,0.02,elliptical
177.59248,-0.266206,21.69,21.5,20.96,0.0951,dwarf
180.396208,1.011479,19.41,18.71,18.43,0.0158,irregular
181.732535,1.077147,16.71,15.56,15.26,0.006,elliptical
179.174825,0.596821,17.85,17.13,16.66,0.001,spiral
180.916846,4.418844,16.72,15.55,15.19,0.001,elliptical
179.593879,1.603067,18.14,17.27,16.86,0.0288,elliptical
180.29222,1.538132,16.34,15.79,15.62,0.0158,spiral
181.923229,1.37239,17.15,16.54,16.34,0.001,irregular
177.838325,2.795002,19.99,19.15,18.8,0.0371,spiral
181.394813,1.983668,19.79,19.04,18.8,0.0137,irregular
181.822114,2.544458,17.39,16.54,16.11,0.0237,elliptical
180.740795,2.784992,21.36,20.65,20.2,0.0406,spiral
179.108742,-0.142779,19.24,18.67,18.5,0.029,spiral
178.482284,2.222337,18.22,17.68,17.31,0.0303,spiral
181.719671,1.396298,17.07,16.16,15.85,0.0082,elliptical
177.91678,-0.219988,20.29,19.44,19.22,0.0412,dwarf
179.655981,2.501764,17.37,16.59,16.42,0.001,elliptical
178.170197,3.694728,15.37,14.71,14.22,0.0063,elliptical
180.61988,0.96225,15.74,15.26,15.16,0.001,irregular
178.177783,-0.3393,17.52,17.0,16.44,0.001,spiral
179.111329,0.206297,22.0,21.47,21.44,0.0798,irregular
180.29931,2.510821,19.62,18.9,18.72,0.0298,spiral
178.278039,1.329747,18.28,17.58,17.32,0.023,spiral
178.018089,3.442389,16.67,16.38,15.93,0.0023,spiral
179.041373,4.413314,18.92,17.92,17.77,0.0207,elliptical
178.814651,1.153019,17.5,16.35,15.75,0.0063,elliptical
178.94834,2.945176,18.46,18.02,17.87,0.0651,spiral
180.306482,4.384715,15.4,14.24,13.95,0.001,elliptical
178.600861,2.315605,15.95,15.41,14.77,0.001,elliptical
177.588139,1.73534,18.33,18.13,17.83,0.0066,spiral
182.12287,2.926712,18.58,17.65,17.27,0.0028,elliptical
180.485166,3.867377,17.81,17.75,17.48,0.0428,spiral
180.237146,0.499999,16.62,15.78,15.28,0.0117,elliptical
178.396023,0.685588,19.51,19.07,18.7,0.0159,spiral
177.559557,3.532131,19.12,17.74,17.55,0.0344,elliptical
178.915899,1.938087,18.5,17.72,17.41,0.0416,elliptical
180.300323,1.244614,19.24,18.62,18.18,0.0716,spiral
179.900724,0.678575,20.92,20.68,20.09,0.051,spiral
178.460494,1.271015,17.08,16.42,16.07,0.0463,spiral
180.119702,4.448929,19.29,18.47,17.99,0.0443,elliptical
179.73644,3.249821,16.4,15.61,14.98,0.0248,elliptical
180.339853,0.565898,18.05,17.31,17.02,0.0431,spiral
181.407637,-0.472085,16.4,15.74,15.71,0.001,irregular
179.622029,1.15003,16.96,16.11,15.87,0.0034,elliptical
181.671201,2.005624,18.04,17.27,16.87,0.0297,elliptical
182.312287,-0.32642,17.25,16.88,16.3,0.014,spiral
181.710133,-0.086718,20.46,19.68,19.72,0.0549,elliptical
178.527564,1.86168,17.81,17.3,16.99,0.0099,spiral
177.861962,1.687768,19.58,18.94,19.01,0.0439,dwarf
178.613843,3.974918,16.34,15.82,15.67,0.001,spiral
179.133865,2.705335,20.43,19.48,18.98,0.0429,elliptical
179.95185,3.409999,17.34,16.24,15.89,0.0513,elliptical
181.785137,4.471843,16.75,16.16,16.19,0.0262,spiral
180.857413,2.300806,18.7,18.38,18.13,0.0213,spiral
179.091938,3.806705,18.6,17.78,17.46,0.0164,spiral
179.630097,3.705638,20.68,20.39,20.37,0.026,irregular
178.463192,2.892445,20.03,19.46,19.1,0.0477,spiral
178.305323,2.434464,20.41,20.26,19.93,0.0479,irregular
180.043997,3.741156,15.69,15.5,15.4,0.0534,spiral
182.339808,-0.107302,17.92,17.22,17.04,0.0219,spiral
178.920254,-0.301742,19.94,19.21,18.97,0.0507,spiral
179.164319,2.346992,17.89,17.01,16.76,0.0011,spiral
178.533811,2.982951,18.66,18.25,17.99,0.001,irregular
179.760127,3.134331,19.76,18.56,18.21,0.0598,elliptical
177.561715,0.565151,15.56,15.2,14.87,0.001,spiral
180.265304,0.628509,16.25,15.23,14.7,0.027,elliptical
182.016607,0.845661,19.27,18.61,18.27,0.034,spiral
178.614512,3.629398,19.92,19.44,18.67,0.0778,irregular
177.784867,-0.302344,14.12,13.17,12.9,0.001,spiral
180.791137,-0.462183,17.21,16.17,15.62,0.001,elliptical
179.14276,1.512092,19.96,19.59,19.26,0.0548,spiral
177.550167,0.819463,21.69,21.51,21.64,0.0712,dwarf
178.266679,1.334601,17.99,17.18,17.38,0.0425,irregular
179.831189,3.306053,16.81,16.07,15.4,0.0207,elliptical
180.040602,2.601053,17.99,17.08,16.66,0.018,elliptical
178.738299,2.158223,17.97,17.09,16.55,0.001,elliptical
181.520343,0.485034,21.35,20.82,20.32,0.0801,dwarf
179.22793,3.352951,17.27,16.66,16.45,0.007,spiral
182.057955,2.641302,18.05,17.01,16.57,0.0018,elliptical
182.390854,0.570579,15.07,13.93,13.55,0.001,elliptical
177.968402,4.312715,15.97,15.25,14.88,0.006,elliptical
180.185788,0.574775,20.87,19.93,19.61,0.0525,dwarf
182.315621,3.430094,16.12,16.07,15.7,0.0154,irregular
182.004909,0.165048,18.87,17.86,17.28,0.0064,elliptical
180.582798,1.700992,17.4,16.46,16.19,0.0362,elliptical
181.728266,1.686366,17.97,17.05,16.53,0.0449,spiral
180.73291,3.916795,17.77,17.29,17.25,0.0281,spiral
180.946035,-0.13042,16.4,15.37,14.83,0.001,elliptical
181.366689,3.568831,17.94,17.49,17.34,0.0292,spiral
182.008845,3.270544,17.73,16.97,16.45,0.0123,spiral
180.719988,1.687643,21.96,21.25,20.75,0.0922,spiral
180.586517,1.878688,16.55,15.74,15.42,0.0079,elliptical
177.826035,0.73658,15.83,15.52,15.26,0.001,spiral
177.522846,1.254819,18.47,17.84,17.92,0.0221,elliptical
178.457596,0.932925,17.04,16.25,15.85,0.001,spiral
177.696368,0.922629,15.96,15.79,15.82,0.0488,spiral
181.395668,1.9421,16.76,15.83,15.62,0.001,spiral
180.149368,2.784255,14.98,14.25,13.84,0.0066,elliptical
177.895102,-0.133551,17.97,17.02,16.56,0.0275,spiral
177.701678,4.119083,18.47,17.82,17.22,0.0296,spiral
178.932258,0.748503,16.71,15.51,15.03,0.0048,elliptical
180.092302,4.431421,17.78,17.78,17.76,0.0507,irregular
181.639119,2.814526,16.96,16.16,15.7,0.0485,spiral
180.810241,2.767992,17.25,16.12,15.63,0.0248,elliptical
178.497524,1.768817,18.29,18.22,18.13,0.009,irregular
179.483295,3.565054,20.18,19.17,18.93,0.0658,spiral
178.617843,3.957603,17.6,17.04,16.86,0.0101,irregular
178.810907,1.189443,16.79,15.83,15.4,0.001,elliptical
178.681433,-0.13516,16.47,15.65,15.56,0.0031,spiral
179.645743,1.294711,16.66,16.08,15.81,0.001,spiral
178.078792,0.763922,16.24,15.76,15.5,0.001,spiral
182.278961,2.120482,18.71,18.23,17.95,0.0088,irregular
180.15139,0.992265,16.54,15.69,15.16,0.0207,spiral
179.652327,0.467031,19.45,18.6,18.63,0.0609,irregular
181.707921,0.818518,17.6,16.66,16.45,0.01,elliptical
179.962314,3.457052,18.93,18.01,17.49,0.0208,elliptical
179.697267,-0.487931,17.45,16.34,15.73,0.0104,elliptical
181.923874,4.372101,19.81,19.14,19.19,0.0771,spiral
180.35966,1.284335,18.25,17.78,17.34,0.0168,spiral
178.614796,1.053558,18.51,17.79,17.46,0.0375,dwarf
180.365715,3.945498,19.84,19.33,18.93,0.0348,spiral
178.262606,1.183187,16.52,15.8,15.54,0.0173,spiral
179.917404,1.944601,21.14,20.53,20.26,0.0682,irregular
178.927412,1.993539,20.62,20.06,19.87,0.0626,irregular
179.740569,2.889569,16.23,15.66,15.3,0.001,spiral
180.682716,3.300374,16.65,15.95,15.48,0.0069,elliptical
179.746609,2.263616,16.74,15.7,15.39,0.0017,elliptical
181.527323,3.469308,17.49,17.22,16.7,0.0689,spiral
182.415376,3.320627,16.54,16.2,15.74,0.001,spiral
179.302806,1.962134,16.42,15.75,15.28,0.0111,elliptical
177.685401,2.525773,18.56,17.45,16.85,0.0152,elliptical
181.7329,0.823842,17.91,17.07,16.8,0.0336,elliptical
180.618866,2.046602,21.67,21.26,21.01,0.0626,spiral
180.545873,-0.467201,20.4,20.18,20.04,0.0465,irregular
178.41615,0.838703,20.56,20.07,19.9,0.0374,irregular
181.592088,1.27775,18.02,16.95,16.57,0.0058,elliptical
177.8375,1.894218,19.31,18.81,18.36,0.0453,spiral
181.73119,4.401394,19.14,18.37,18.18,0.001,spiral
178.38379,4.066366,19.44,18.22,17.83,0.0212,irregular
177.541025,1.813933,21.74,20.84,20.62,0.05,irregular
180.869311,-0.251913,17.97,17.81,17.62,0.001,spiral
180.234987,0.141739,17.77,16.92,16.75,0.001,spiral
178.374093,0.699236,17.04,16.58,16.21,0.0065,elliptical
179.419715,1.394288,19.1,18.42,18.11,0.0339,irregular
178.75597,1.078153,16.21,15.57,15.29,0.0167,spiral
182.098434,0.5255,16.13,14.89,14.52,0.0196,elliptical
178.492153,4.384927,17.16,16.8,16.46,0.0599,spiral
180.675585,2.809286,19.66,19.23,19.03,0.0416,spiral
179.075738,4.156611,18.03,17.47,17.23,0.0206,irregular
180.805632,3.156058,17.9,16.75,16.43,0.0242,elliptical
181.076609,2.570965,19.61,18.73,18.62,0.0437,spiral
178.981109,4.456914,17.47,17.11,16.59,0.001,spiral
180.491915,-0.285124,18.52,17.86,17.73,0.001,spiral
180.078029,2.655076,17.73,16.8,16.3,0.0638,elliptical
180.642332,3.909691,17.23,16.57,16.07,0.001,elliptical
178.781134,1.242685,16.95,16.07,15.58,0.0183,elliptical
180.154716,0.364755,17.9,17.32,17.03,0.0403,spiral
178.055067,0.773726,22.0,20.94,20.89,0.0613,irregular
182.351568,-0.077571,17.4,16.63,16.2,0.0204,elliptical
179.17338,2.256739,15.77,15.38,14.96,0.001,spiral
179.673071,1.151086,18.17,17.88,17.88,0.0055,irregular
180.427015,2.505156,17.49,16.97,16.78,0.001,spiral
181.456545,0.589525,17.7,16.9,16.43,0.0428,elliptical
178.506961,1.15204,16.15,15.78,15.49,0.0133,irregular
181.528574,-0.377491,21.48,21.1,20.8,0.0272,spiral
180.928127,1.22938,16.72,16.29,15.84,0.001,elliptical
178.621378,3.644251,18.51,17.59,17.17,0.001,elliptical
179.411025,4.33162,16.61,15.58,15.38,0.0349,elliptical
179.060203,2.685156,18.95,18.08,17.84,0.0436,irregular
182.130615,0.698148,17.47,16.34,15.73,0.0181,elliptical
181.557895,1.887107,22.0,21.61,21.45,0.0769,irregular
179.17372,2.814956,17.63,16.76,16.21,0.023,elliptical
180.177485,1.571624,17.99,17.18,16.93,0.0141,spiral
178.780653,4.043614,17.54,16.36,15.73,0.0459,elliptical
177.656689,1.726343,14.0,13.64,13.86,0.001,irregular
180.077,0.176724,20.48,20.14,20.06,0.0618,dwarf
179.966945,-0.251092,17.61,16.73,16.37,0.0071,elliptical
181.208486,2.198267,19.09,18.69,18.29,0.0443,irregular
182.057585,0.645373,17.93,16.96,16.3,0.001,elliptical
180.257827,2.48743,19.73,18.93,18.67,0.01,spiral
179.610528,3.244753,20.07,19.24,18.97,0.0253,elliptical
178.699598,-0.352512,17.7,16.67,16.12,0.0386,elliptical
178.646267,1.163525,19.51,19.1,18.87,0.0095,irregular
179.994826,1.860448,19.28,18.86,18.45,0.0029,spiral
181.733198,3.685172,19.65,18.72,18.53,0.0061,spiral
178.925565,2.185326,19.66,18.98,18.61,0.0362,irregular
180.319395,1.892733,18.29,17.9,17.56,0.0293,irregular
177.863874,3.320431,16.89,16.21,15.77,0.0046,spiral
181.974629,1.806265,18.65,18.3,18.23,0.026,irregular
178.203298,4.358496,19.3,18.6,18.17,0.0067,elliptical
178.549392,0.302155,18.89,18.27,17.97,0.0077,spiral
180.935341,1.979308,20.8,20.93,20.82,0.0375,irregular
181.524189,0.442876,18.18,17.49,17.52,0.0211,spiral
180.101927,3.171535,21.09,20.41,20.34,0.0687,irregular
181.888391,2.179253,18.4,17.33,16.77,0.0463,elliptical
180.07698,4.132378,20.88,20.56,20.26,0.066,irregular
180.277896,2.859434,16.49,15.85,15.8,0.001,spiral
181.87739,2.036101,18.35,17.58,16.99,0.023,elliptical
178.439794,0.067068,17.14,16.69,16.65,0.0423,spiral
181.829391,0.628062,20.74,20.91,20.62,0.0266,dwarf
182.306424,3.246989,14.93,14.64,14.36,0.001,spiral
178.956239,0.261978,18.82,18.46,18.39,0.0503,irregular
179.730143,2.322386,19.41,18.63,18.21,0.0229,dwarf
179.638567,1.351121,19.03,18.63,18.23,0.0475,irregular
179.337872,2.178242,21.59,20.8,20.54,0.0633,spiral
181.625729,3.090333,15.55,14.91,14.39,0.001,elliptical
180.432725,3.840828,18.95,18.25,17.88,0.0406,spiral
179.020978,2.109751,16.06,15.66,15.22,0.001,spiral
180.751318,0.521321,16.39,15.62,15.33,0.0303,elliptical
180.346753,0.50062,16.87,16.06,15.47,0.001,elliptical
178.382672,0.085133,15.56,15.08,14.81,0.001,spiral
182.431841,-0.34691,18.42,17.56,17.19,0.0395,elliptical
178.607317,1.640017,19.93,19.19,19.36,0.0533,dwarf
179.63468,1.864272,19.06,17.95,17.69,0.0623,elliptical
178.08904,-0.206058,18.93,17.76,17.38,0.0392,elliptical
180.638919,3.939369,19.22,18.63,18.12,0.0369,spiral
182.178119,2.35529,18.67,17.98,17.66,0.0067,spiral
179.935428,3.735815,20.86,20.53,20.14,0.0491,spiral
182.303287,-0.092138,17.98,17.4,17.15,0.0613,spiral
177.835909,0.479781,21.04,20.42,20.23,0.0426,spiral
181.492988,3.791809,16.82,16.25,15.84,0.001,spiral
179.325989,2.523461,18.35,17.33,17.31,0.0136,irregular
181.2807,0.062126,17.6,17.08,16.64,0.0229,spiral
182.463112,3.157421,17.0,16.48,16.16,0.001,spiral
182.033615,2.921632,14.0,13.18,12.9,0.001,irregular
179.796706,1.162912,17.39,16.71,16.07,0.0188,spiral
181.220391,-0.083282,17.4,16.43,16.08,0.0414,spiral
181.010535,0.275117,21.73,20.93,20.82,0.0955,dwarf
180.203381,0.913631,15.41,14.91,14.68,0.0213,spiral
180.258576,0.280453,17.11,15.9,15.23,0.0213,elliptical
179.444878,1.266413,20.51,19.77,19.72,0.0574,spiral
178.811684,0.297438,16.23,15.68,15.37,0.0027,spiral
177.867408,3.964779,17.42,16.51,16.09,0.0168,elliptical
177.951521,0.603655,17.78,17.64,17.36,0.0078,irregular
180.316505,4.308858,22.0,21.46,21.42,0.0551,irregular
181.838953,2.247693,18.3,17.81,17.73,0.011,spiral
181.883766,0.418159,18.05,17.07,16.93,0.0059,elliptical
178.335437,0.27909,17.64,16.85,16.37,0.0438,elliptical
181.632894,0.826294,19.2,18.5,18.0,0.0322,spiral
179.789596,0.492638,17.32,16.72,16.37,0.0061,elliptical
181.914564,0.079291,19.7,19.04,18.97,0.0397,spiral
179.612333,3.275006,17.31,17.08,16.64,0.001,irregular
178.892545,3.965685,21.37,21.05,21.03,0.0711,dwarf
179.092036,1.943128,17.89,16.81,16.56,0.037,elliptical
181.205358,2.524899,18.03,17.3,16.98,0.0492,spiral
182.164684,0.206397,17.23,16.69,16.31,0.0387,elliptical
180.305936,4.120272,19.0,18.27,17.96,0.0017,elliptical
179.469373,2.451533,19.08,18.52,17.87,0.0319,irregular
180.840156,2.119729,17.7,16.8,16.41,0.0048,elliptical
179.485122,3.35152,20.66,20.18,19.73,0.0914,spiral
179.674776,3.260044,17.95,16.93,16.48,0.001,elliptical
177.722692,1.436854,17.57,16.91,16.78,0.0262,spiral
182.243351,2.147485,15.88,14.77,14.34,0.0146,elliptical
180.05159,2.141803,18.73,18.41,18.4,0.0615,irregular
178.522917,2.557024,16.9,16.43,16.34,0.0183,irregular
178.702746,0.400911,16.85,15.98,15.47,0.001,elliptical
181.480212,2.715059,18.14,17.33,16.92,0.0212,spiral
177.54422,2.279486,17.28,16.49,15.84,0.017,elliptical
179.451869,1.539366,18.32,17.75,17.54,0.0416,spiral
179.408556,1.702052,17.46,16.72,16.44,0.0358,spiral
181.381655,3.628899,19.86,18.94,19.01,0.001,spiral
179.026016,1.050953,16.6,15.3,14.87,0.001,elliptical
177.588713,2.899336,16.44,15.5,15.33,0.0123,spiral
178.086915,0.73712,17.56,16.99,16.51,0.001,spiral
180.415431,4.316623,19.86,19.47,18.91,0.0122,spiral
182.231436,1.995946,18.37,17.32,17.03,0.0243,elliptical
182.403935,1.386602,16.16,15.78,15.62,0.0263,spiral
178.75716,4.398354,18.45,17.35,16.9,0.0291,elliptical
180.003842,3.266891,17.61,16.67,16.3,0.001,elliptical
181.608077,0.091523,18.63,18.14,17.79,0.0299,spiral
178.596611,1.570222,19.19,18.85,18.57,0.007,spiral
180.733202,0.151515,19.29,18.6,18.3,0.0086,spiral
180.349869,0.068443,17.79,16.94,16.47,0.0288,spiral
181.863191,1.031595,19.04,18.67,18.0,0.0415,spiral
177.602643,1.454866,18.55,17.85,17.26,0.0045,spiral
177.738397,2.686257,18.87,17.93,17.77,0.001,spiral
177.950458,1.113942,17.53,17.51,17.31,0.0614,dwarf
179.277545,0.197608,17.78,16.85,16.41,0.0336,elliptical
182.289551,1.654223,16.63,16.11,15.63,0.0069,spiral
179.105984,-0.026799,20.58,20.41,20.28,0.0609,dwarf
181.707448,2.285126,18.48,17.69,17.38,0.0732,spiral
178.873687,1.024302,16.78,16.36,15.93,0.001,spiral
178.421175,2.109248,17.94,16.82,16.38,0.0336,elliptical
177.627578,1.40746,14.44,13.7,13.48,0.0038,elliptical
182.04489,1.565718,18.87,17.95,17.82,0.0671,elliptical
181.867265,-0.364223,19.92,19.51,19.32,0.0337,spiral
182.401654,0.561144,18.92,18.54,18.17,0.0365,spiral
179.054991,2.122767,19.2,18.13,17.78,0.036,elliptical
178.341555,3.171605,15.84,15.39,14.8,0.001,elliptical
179.116628,2.684077,19.15,18.41,18.39,0.054,spiral
177.571983,0.107662,16.74,15.81,15.51,0.0098,spiral
180.847995,2.765882,15.74,15.16,14.93,0.001,spiral
179.409796,1.36105,19.92,19.38,19.15,0.0499,spiral
179.606651,3.10487,17.77,16.65,16.06,0.0289,elliptical
178.111111,2.421241,16.76,16.3,15.82,0.0122,spiral
178.164048,3.341983,16.95,16.53,16.35,0.004,spiral
179.842271,1.496752,17.02,15.97,15.89,0.0256,elliptical
177.701251,3.605377,18.65,17.86,17.55,0.0547,elliptical
178.286711,1.430161,17.19,16.73,16.5,0.0067,irregular
178.241814,3.225206,18.43,17.65,17.11,0.001,spiral
178.97587,0.206619,20.34,19.83,19.76,0.0337,dwarf
178.790917,-0.221422,19.43,18.73,18.38,0.001,spiral
177.708953,-0.045996,18.01,17.12,16.84,0.0327,elliptical
178.925871,4.239581,15.0,14.57,14.51,0.001,spiral
180.841752,0.672955,15.94,15.19,14.51,0.001,elliptical
180.313079,3.131784,21.68,21.39,21.11,0.0873,dwarf
181.605167,2.833117,15.62,14.74,14.22,0.001,elliptical
177.673551,4.203734,19.0,18.48,18.07,0.0527,spiral
178.231792,3.348084,18.77,18.02,17.48,0.0415,spiral
180.487419,-0.244007,19.72,19.32,18.74,0.0633,spiral
181.734908,2.126536,16.49,15.81,15.71,0.0082,spiral
180.378461,-0.303089,19.95,19.23,19.35,0.0113,dwarf
181.807471,1.273172,17.02,16.55,16.03,0.0118,spiral
178.843025,1.69522,19.72,19.27,19.21,0.001,spiral
181.447758,3.314864,19.68,19.13,18.53,0.026,spiral
179.029811,-0.202207,15.46,15.08,14.77,0.0135,spiral
180.635777,2.943414,18.36,17.33,17.03,0.0188,elliptical
182.431771,2.713104,18.24,17.06,16.61,0.0219,elliptical
181.138287,3.729244,18.39,17.7,17.45,0.028,spiral
180.587284,1.176084,16.35,15.42,15.39,0.0344,elliptical
181.382217,2.013191,18.62,17.48,17.22,0.0364,elliptical
181.522804,3.430778,17.31,16.3,15.76,0.0168,elliptical
179.97322,2.495817,18.63,17.36,16.81,0.001,elliptical
181.857213,3.820517,19.15,18.33,17.7,0.0098,elliptical
180.337141,1.000123,17.25,16.63,16.3,0.001,elliptical
182.383128,2.093713,17.67,17.07,16.62,0.0437,irregular
181.292344,-0.127757,17.07,16.21,15.9,0.0283,spiral
177.505136,2.99418,16.94,16.12,15.5,0.0183,elliptical
178.673032,2.988616,21.34,20.67,20.14,0.0353,irregular
180.930493,4.275396,19.09,18.27,17.82,0.0232,elliptical
179.329652,0.27005,18.03,17.42,17.2,0.0049,spiral
179.360399,-0.220503,19.11,18.38,18.13,0.0452,spiral
179.139253,0.136411,19.59,18.99,18.56,0.0138,dwarf
181.517204,3.740435,19.84,18.86,18.55,0.0483,elliptical
181.199188,1.208433,18.24,17.79,17.37,0.001,spiral
182.32215,0.992891,15.91,15.03,14.75,0.0319,spiral
177.750017,0.458078,16.8,16.94,16.7,0.0087,spiral
181.006676,-0.143242,16.4,15.58,15.09,0.0212,elliptical
182.379576,1.04593,17.33,17.0,16.63,0.0195,irregular
181.32063,1.0655,18.71,18.2,17.67,0.0615,spiral
181.689107,2.837666,16.44,15.93,15.78,0.0026,spiral
180.765183,0.346144,20.15,19.55,19.38,0.0141,irregular
177.543177,3.929532,21.48,20.79,20.59,0.0704,spiral
181.085732,0.088304,17.68,16.98,16.59,0.001,elliptical
178.742435,1.877614,14.83,13.92,13.41,0.001,elliptical
182.214586,3.323275,18.45,17.75,17.39,0.0109,spiral
178.946777,1.956983,18.16,17.59,17.37,0.0342,spiral
178.698191,1.649789,19.21,18.47,18.24,0.029,irregular
178.056932,0.796418,18.83,18.39,17.92,0.0293,irregular
178.749911,3.391636,18.5,17.52,17.12,0.0159,elliptical
181.236071,3.923015,17.09,16.54,16.21,0.0148,spiral
179.917927,-0.396024,18.17,17.56,17.2,0.0313,spiral
179.589849,4.426061,21.16,20.9,20.27,0.0357,irregular
